YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1880,50.4,49.1,51.4,61.5,70.9,76,78.7,76.1,69.8,59.7,45.1,37.7,60.5
1881,36.8,44,48,56,70.9,78.5,82.2,80.6,78,66.3,51.7,47.4,61.7
1882,43.8,49.9,54,61.6,65.5,77.5,78.1,76.6,70.7,63.9,48.4,38.2,60.7
1883,39.4,49,46.6,59.1,68.3,77.1,80.2,76.9,69.3,62.4,53,47.1,60.7
1884,38.6,51.7,53.9,57.3,69.5,70.9,77.5,75.4,73.2,66.5,50.9,44.1,60.8
1885,40.6,39,46,59.8,67.5,75.8,78.7,77,70.4,57.2,49.3,42.4,58.6
1886,35.4,40.1,48.8,59.6,68.1,72.5,76.5,75.5,72.4,60.1,50.5,39.3,58.2
1887,38.3,49.4,48.5,59.7,71.3,75.5,80.9,76,70.3,58,50.5,42,60
1888,42.8,46.6,49.7,63.2,68.8,77.2,79,79,68.9,57.4,52,42.7,60.6
1889,44.1,39.4,51,61.2,70.5,73.5,78.8,74,70.1,58.5,51.9,54.7,60.6
1890,50.7,52.9,49.5,60.6,69.8,80.2,77.3,75.3,70.8,59.7,55.3,42.9,62.1
1891,43.1,49,45.8,61.1,65.4,76.5,74.7,76.5,72.3,56.9,47.8,46.7,59.7
1892,38.2,45.6,47.5,56.8,68.4,76.3,76.7,77.9,69.7,60.2,48.8,42.1,59
1893,32.8,44.9,49.7,63,66.6,74.1,80.7,75.3,71.1,60.4,48.9,45.7,59.4
1894,44.9,45.1,56.6,59.6,69.3,76.2,76.8,75.9,72.9,61,48.5,43.9,60.9
1895,39.1,32.9,49.2,58.5,65.7,76.2,77.1,77.5,76.2,58.1,51.1,42.3,58.7
1896,40.2,44.3,48.2,64.9,75.3,74.2,78,79.3,72.7,59,55.6,41.6,61.1
1897,37.1,46.4,52.2,59.6,66.6,76.6,78.4,75.7,72.7,64.2,51.4,44.3,60.4
1898,45,41.5,55.1,55.7,71.9,77.4,78.4,77.2,73.2,60.7,47.6,43,60.6
1899,40.3,37.7,50.6,57.5,71.1,78.1,78.6,79.4,70.5,61.3,52,41.2,59.9
1900,41.4,39.5,48.1,59.6,69,74.8,79.4,81.9,76.4,65.2,52.1,42.6,60.8
1901,41.5,39.9,50.8,53.6,68.9,75.6,80,76.7,70.2,61,45.8,40,58.7
1902,38.4,36.7,51.7,57.7,72.4,76.5,80.1,76.8,70,62.5,57.7,42.4,60.2
1903,39.8,46.3,57.5,58.9,69.8,71.8,79.7,78.8,70.4,60.8,47.6,38.6,60
1904,37.3,39.5,52,55.6,68.8,75.1,77.6,75.7,72.2,60,50.1,40.8,58.7
1905,37,34.7,55.8,60.3,70.9,77.5,78.5,75.4,74,60.9,51.4,40.9,59.8
1906,44.3,43.4,46.8,63.2,67.8,76,76.5,78.8,74.5,57.9,52.4,44.8,60.5
1907,49.6,41.2,57.7,52.8,66.7,72.7,79.6,77.2,73.7,58.5,48.4,42.6,60.1
1908,40.5,38.4,57.6,63.3,68.8,74.4,77.9,75.6,69.6,59.5,53.2,45.8,60.4
1909,45.2,48.9,49.7,61.7,66.7,76.6,76.3,76,69,58.8,56.2,39.2,60.4
1910,41.6,41.2,57.8,61.4,66.4,72.2,77.6,76.7,73.1,63.6,48,38.4,59.8
1911,45.2,47.7,49.7,56.9,71,79,78.8,79,76.4,63.5,46.1,45.5,61.6
